Year,Day (mm/dd),Area Office Code,Form No,Line No,Survey Type Name,District,Stat Area,Stream Number,Stream Name,Area Surveyed,Species Name,Observer Initials,Usage Code,Usage Description,Tide Description,Visibility Description,Water Level Description,Fish Presence,Mouth Count,Tidal Count,Live Count,Dead Count
1987,22-Sep,A,97,10,AERIAL,182,182-80,182-80-070,Summit Lake,Unknown,Coho,REJ,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,400,0
1987,22-Sep,C,146,1,FOOT,108,108-50,108-50-003,Bear Ck Frederick Sd,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,1,0
1987,22-Sep,C,147,4,FOOT,108,108-50,108-50-003,Bear Ck Frederick Sd,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,1,0
1987,23-Sep,A,75,1,AERIAL,111,111-32,111-32-068,Johnson Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Excellent,Low,Fish present but not counted in Live,0,0,0,0
1987,23-Sep,A,75,2,AERIAL,111,111-32,111-32-066,Yehring Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,250,0
1987,23-Sep,A,75,3,AERIAL,111,111-32,111-32-056,Fish Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,100,0
1987,23-Sep,A,75,4,AERIAL,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,0,0
1987,23-Sep,A,75,5,AERIAL,111,111-32,111-32-032,Taku River,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,0,0
1987,23-Sep,A,75,10,AERIAL,111,111-35,111-35-010,Crescent Lake Inlet,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,10,0
1987,23-Sep,A,88,1,FOOT,111,111-32,111-32-068,Johnson Creek-Taku R,Unknown,Coho,KJK,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,150,0
1987,23-Sep,C,143,1,FOOT,108,108-45,108-45-040,Blind Slough Sumner,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,48,0
1987,23-Sep,C,144,1,FOOT,108,108-45,108-45-050,Ohmer Creek Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,45,4,0
1987,23-Sep,C,147,6,FOOT,108,108-45,108-45-040,Blind Slough Sumner,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,48,0
1987,23-Sep,C,147,8,FOOT,108,108-45,108-45-050,Ohmer Creek Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,45,4,0
1987,23-Sep,D,22,2,FOOT,113,113-62,113-62-008,Sinitsin Cove Head,Unknown,Coho,RAD,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,21,0
1987,23-Sep,D,47,1,FOOT,113,113-41,113-41-042,Kizhuchia Ck Red Bay,Unknown,Coho,AES,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,40,0
1987,23-Sep,D,47,2,FOOT,113,113-62,113-62-008,Sinitsin Cove Head,Unknown,Coho,RAD,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,21,0
1987,23-Sep,D,47,3,FOOT,113,113-66,113-66-006,St. John Baptist Hd,Unknown,Coho,RAD,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,4,0
1987,24-Sep,C,145,1,FOOT,106,106-44,106-44-006,Falls Ck Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,21,0
1987,24-Sep,C,147,2,FOOT,106,106-44,106-44-006,Falls Ck Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,21,0
1987,24-Sep,D,47,4,FOOT,113,113-40,113-40-015,Starrigavin Creek,Unknown,Coho,RDJ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,16,0
1987,24-Sep,D,47,5,FOOT,113,113-41,113-41-13B,Eagle River,Unknown,Coho,RAD,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,167,0
1987,26-Sep,B,116,3,FOOT,101,101-15,101-15-085,Fish Creek-Hyder,Unknown,Coho,JFK,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,94,0
1987,28-Sep,D,47,6,FOOT,113,113-62,113-62-008,Sinitsin Cove Head,Unknown,Coho,NSR,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,20,0
1987,30-Sep,A,82,4,AERIAL,115,115-20,115-20-010,Berners River,Unknown,Coho,DJI,0,Not coded yet,Tide Low,Poor,High,Not recorded,0,0,150,0
1987,6-Oct,D,47,18,FOOT,109,109-10,109-10-023,Deep Cove NW Head,Unknown,Coho,NSR,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,10,0
1987,7-Oct,A,82,10,FOOT,111,111-40,111-40-015,Salmon Creek Gast Ch,Unknown,Coho,JJM,0,Not coded yet,Tide Low,Normal,Normal,Not recorded,0,0,0,0
1987,7-Oct,A,84,5,FOOT,111,111-50,111-50-010,Peterson Ck Favor C,Unknown,Coho,MRB,3,Peak survey - useful for indexing abundance,Not recorded,Excellent,Low,Not recorded,0,0,193,11
1987,7-Oct,A,84,14,FOOT,111,111-40,111-40-007,Switzer Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,48,0
1987,7-Oct,A,84,28,FOOT,111,111-40,111-40-028,Sheep Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,70,0
1987,7-Oct,A,97,12,BOAT,182,182-70,182-70-010,Situk RIver,Unknown,Coho,B-K,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,1010,0
1987,7-Oct,A,99,5,FOOT,115,115-32,115-32-040,Spring Ck L Salmon R,Unknown,Coho,RPE,0,Not coded yet,Not recorded,Excellent,High,Not recorded,0,0,26,0
1987,7-Oct,A,99,35,FOOT,115,115-32,115-32-040,Spring Ck L Salmon R,Unknown,Coho,RPE,0,Not coded yet,Not recorded,Excellent,High,Not recorded,0,0,7,0
1987,7-Oct,B,126,5,FOOT,101,101-90,101-90-029,Traitors Cove Creek,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,65,0
1987,7-Oct,C,147,5,FOOT,108,108-50,108-50-003,Bear Ck Frederick Sd,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,26,0
1987,8-Oct,A,82,6,AERIAL,112,112-80,112-80-028,Chaik Bay Creek,Unknown,Coho,DJI,0,Not coded yet,Tide Low,Excellent,Normal,Not recorded,0,0,200,0
1987,8-Oct,A,82,8,FOOT,112,112-80,112-80-028,Chaik Bay Creek,Unknown,Coho,DJI,0,Not coded yet,Tide Low,Excellent,Normal,Not recorded,0,400,86,0
1987,8-Oct,A,84,12,FOOT,111,111-50,111-50-052,Montana Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,312,2
1987,8-Oct,A,97,13,BOAT,182,182-80,182-80-030,Tawah Creek,Unknown,Coho,B-K,3,Peak survey - useful for indexing abundance,Not recorded,Excellent,High,Not recorded,0,0,5000,0
1987,8-Oct,A,99,6,FOOT,115,115-32,115-32-027,"Clear Creek Murphy Flat, Chilkat Lake",Unknown,Coho,RPE,0,Not coded yet,Tide High,Normal,Normal,Not recorded,0,0,12,0
1987,8-Oct,B,119,2,FOOT,102,102-40,102-40-060,Lagoon Creek,Unknown,Coho,PSD,0,Not coded yet,Not recorded,Normal,Normal,Fish present but not counted in Mouth,0,30,185,0
1987,8-Oct,B,126,1,FOOT,101,101-29,101-29-006,Vallenar Creek,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,108,0
1987,8-Oct,B,126,16,FOOT,101,101-30,101-30-083,Humpback Creek,Unknown,Coho,LED,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,337,0
1987,8-Oct,C,147,10,FOOT,106,106-44,106-44-060,Petersburg Creek,Unknown,Coho,BGZ,0,Not coded yet,Tide High,Normal,Normal,Fish present but not counted in Tidal,0,0,21,0
1987,8-Oct,C,151,1,HELICOPTER,107,107-40,107-40-025,Oerns Creek,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,0,0
1987,8-Oct,C,151,2,HELICOPTER,107,107-40,107-40-038,Marten Ck Bradfield,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,0,0
1987,8-Oct,C,151,3,HELICOPTER,107,107-40,107-40-049,Harding River,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,0,0
1987,8-Oct,C,151,4,HELICOPTER,107,107-40,107-40-051,White R Bradfield,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,0,0
1987,8-Oct,C,151,5,HELICOPTER,107,107-40,107-40-053,Bradfield River E Fk,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,0,0
1987,8-Oct,C,151,6,HELICOPTER,107,107-40,107-40-025,Oerns Creek,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,80,0
1987,8-Oct,C,151,8,HELICOPTER,106,106-43,106-43-075,Duncan Ck Duncan Can,Unknown,Coho,RCL,0,Not coded yet,Tide High,Poor,Normal,Not recorded,0,0,0,0
1987,8-Oct,D,47,7,FOOT,113,113-62,113-62-008,Sinitsin Cove Head,Unknown,Coho,RAD,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,18,0
1987,8-Oct,D,47,8,FOOT,113,113-41,113-41-13B,Eagle River,Unknown,Coho,RAD,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,9,0
1987,9-Oct,A,60,16,AERIAL,115,115-20,115-20-010,Berners River,Unknown,Coho,WEP,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,1450,0
1987,9-Oct,A,82,11,AERIAL,111,111-32,111-32-032,Taku River,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,High,Not recorded,0,0,200,0
1987,9-Oct,A,82,13,AERIAL,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,50,0
1987,9-Oct,A,82,17,AERIAL,111,111-32,111-32-056,Fish Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,High,Not recorded,0,0,0,0
1987,9-Oct,A,83,1,FOOT,111,111-50,111-50-075,Peterson Ck Doug Is,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,27,0
1987,9-Oct,A,84,8,FOOT,111,111-50,111-50-062,Jordon Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,51,2
1987,9-Oct,A,86,3,HELICOPTER,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,LDS,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,10,0
1987,9-Oct,A,86,4,HELICOPTER,111,111-32,111-32-056,Fish Creek-Taku R,Unknown,Coho,LDS,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,80,0
1987,9-Oct,A,86,17,HELICOPTER,111,111-32,111-32-066,Yehring Creek-Taku R,Unknown,Coho,LDS,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,340,0
1987,9-Oct,A,88,3,HELICOPTER,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,STE,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,0,0
1987,9-Oct,A,88,4,HELICOPTER,111,111-32,111-32-056,Fish Creek-Taku R,Unknown,Coho,STE,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,150,0
1987,9-Oct,A,88,5,HELICOPTER,111,111-32,111-32-066,Yehring Creek-Taku R,Unknown,Coho,STE,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,220,0
1987,9-Oct,A,97,14,AERIAL,182,182-55,182-55-015,Old Italio River,Unknown,Coho,B-K,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,240,0
1987,9-Oct,A,97,15,AERIAL,182,182-50,182-50-010,Italio River,Unknown,Coho,B-K,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,1000,0
1987,9-Oct,A,97,16,AERIAL,182,182-50,182-50-010,Italio River,Unknown,Coho,REJ,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,400,0
1987,9-Oct,A,98,1,AERIAL,182,182-10,182-10-010,Doame River,Unknown,Coho,B-K,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,1300,0
1987,9-Oct,A,98,3,AERIAL,182,182-30,182-30-014,Mork Creek,Unknown,Coho,B-K,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,0,0
1987,9-Oct,A,98,4,AERIAL,182,182-30,182-30-040,Gines Creek,Unknown,Coho,B-K,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,0,0
1987,9-Oct,A,98,5,AERIAL,182,182-30,182-30-032,Garbage Creek,Unknown,Coho,B-K,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,100,0
1987,9-Oct,A,98,6,AERIAL,182,182-30,182-30-020,Kluckshu River (CAN),Unknown,Coho,B-K,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,0,0
1987,9-Oct,A,98,7,AERIAL,182,182-70,182-70-200,Ahrnklin River,Unknown,Coho,B-K,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,300,0
1987,9-Oct,A,99,7,FOOT,115,115-32,115-32-068,Tahini River,Unknown,Coho,RPE,0,Not coded yet,Not recorded,Normal,High,Not recorded,0,0,284,0
1987,9-Oct,A,99,37,FOOT,115,115-32,115-32-068,Tahini River,Unknown,Coho,RPE,0,Not coded yet,Not recorded,Normal,High,Not recorded,0,0,27,0
1987,9-Oct,B,126,6,HELICOPTER,101,101-30,101-30-060,Marten River,Unknown,Coho,SHH,3,Peak survey - useful for indexing abundance,Not recorded,Normal,Normal,Not recorded,0,0,740,0
1987,9-Oct,B,126,8,HELICOPTER,101,101-55,101-55-020,Wilson River,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,350,0
1987,9-Oct,B,126,9,HELICOPTER,101,101-55,101-55-040,Blossom River,Unknown,Coho,SHH,3,Peak survey - useful for indexing abundance,Not recorded,Normal,Normal,Not recorded,0,0,700,0
1987,9-Oct,B,126,12,HELICOPTER,101,101-30,101-30-030,Keta River,Unknown,Coho,SHH,3,Peak survey - useful for indexing abundance,Not recorded,Normal,Normal,Not recorded,0,0,800,0
1987,9-Oct,B,126,14,FOOT,101,101-15,101-15-019,Tombstone River,Unknown,Coho,SHH,3,Peak survey - useful for indexing abundance,Not recorded,Normal,Normal,Not recorded,0,0,532,0
1987,9-Oct,C,147,11,FOOT,106,106-22,106-22-006,Flat Ck Mosman Inlet,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,102,0
1987,9-Oct,D,47,9,HELICOPTER,113,113-81,113-81-011,Black River,Unknown,Coho,AES,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,262,0
