Year,Day (mm/dd),Management Area Code,Line No,Survey Type Name,District,Stat Area,Stream Number,Stream Name,Area Surveyed,Species Name,Observer Initials,Usage Code,Usage Description,Tide Description,Visibility Description,Water Level Description,Fish Presence,Mouth Count,Tidal Count,Live Count,Dead Count
1987,25-Oct,B,2,FOOT,101,101-29,101-29-006,Vallenar Creek,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,71,0
1987,25-Oct,B,5,FOOT,101,101-30,101-30-083,Humpback Creek,Unknown,Coho,PSD,3,Peak survey - useful for indexing abundance,Not recorded,Normal,Normal,Not recorded,0,0,650,0
1987,29-Oct,B,1,FOOT,101,101-45,101-45-078,Carroll Creek,Unknown,Coho,JFK,3,Peak survey - useful for indexing abundance,Not recorded,Normal,Normal,Not recorded,0,0,180,0
1987,29-Oct,B,2,FOOT,101,101-75,101-75-015,Eulachon River,Unknown,Coho,LMJ,3,Peak survey - useful for indexing abundance,Not recorded,Normal,Normal,Not recorded,0,0,154,0
1987,29-Oct,B,3,FOOT,101,101-71,101-71-04I,Indian Creek,Unknown,Coho,PSD,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,34,0
1987,4-Nov,B,1,FOOT,101,101-75,101-75-005,Herman Creek,Unknown,Coho,LMJ,3,Peak survey - useful for indexing abundance,Not recorded,Normal,Normal,Not recorded,0,0,92,0
1987,4-Nov,B,9,FOOT,101,101-80,101-80-070,Hatchery Ck-Yes Bay,Unknown,Coho,TPZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,322,0
1987,1-Dec,B,3,FOOT,101,101-80,101-80-070,Hatchery Ck-Yes Bay,Unknown,Coho,TPZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,450,0
1987,12-Sep,B,3,FOOT,102,102-40,102-40-060,Lagoon Creek,Unknown,Coho,PSD,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,5,70,0
1987,8-Oct,B,2,FOOT,102,102-40,102-40-060,Lagoon Creek,Unknown,Coho,PSD,0,Not coded yet,Not recorded,Normal,Normal,Fish present but not counted in Mouth,0,30,185,0
1987,23-Oct,B,3,FOOT,102,102-40,102-40-060,Lagoon Creek,Unknown,Coho,REW,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,289,0
1987,31-Oct,B,5,FOOT,102,102-60,102-60-082,Harris River,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,5,0
1987,30-Oct,B,3,FOOT,103,103-60,103-60-059,Port St Nicholas Hd,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,29,1
1987,31-Oct,B,4,FOOT,103,103-60,103-60-077,Trocadero B R Head,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,48,0
1987,1-Nov,B,6,FOOT,103,103-60,103-60-075,Trocadero Bay,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,1,0
1987,2-Nov,B,7,FOOT,103,103-90,103-90-030,Staney Creek,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,4,0
1987,27-Aug,C,5,AERIAL,105,105-32,105-32-012,Irish Creek-Rocky P,Unknown,Coho,WRB,0,Not coded yet,Tide Low,Normal,Low,Fish present but not counted in Mouth,0,0,0,0
1987,28-Aug,C,4,AERIAL,105,105-32,105-32-012,Irish Creek-Rocky P,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Fish present but not counted in Mouth,0,0,0,0
1987,19-Jul,C,2,FOOT,106,106-42,106-42-010,Kah Sheets Creek,Unknown,Coho,BEB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,50,0,0,0
1987,28-Jul,C,2,AERIAL,106,106-35,106-35-080,108 Creek Whale Pass,Unknown,Coho,WRB,0,Not coded yet,Tide Low,Normal,Normal,Fish present but not counted in Mouth,0,0,0,0
1987,13-Aug,C,4,AERIAL,106,106-43,106-43-021,Castle River,Unknown,Coho,WRB,0,Not coded yet,Tide Low,Normal,Low,Not recorded,10,0,0,0
1987,20-Aug,C,2,AERIAL,106,106-42,106-42-010,Kah Sheets Creek,Unknown,Coho,WRB,0,Not coded yet,Tide High,Normal,Low,Fish present but not counted in Mouth,0,0,0,0
1987,22-Aug,C,4,FOOT,106,106-41,106-41-010,Salmon Bay Creek,Unknown,Coho,DAH,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,1,2,0
1987,28-Aug,C,4,AERIAL,106,106-44,106-44-031,Crystal Creek,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Normal,Fish present but not counted in Mouth,0,0,0,0
1987,28-Aug,C,17,AERIAL,106,106-42,106-42-010,Kah Sheets Creek,Unknown,Coho,RCL,0,Not coded yet,Tide Low,Excellent,Low,Not recorded,200,0,0,0
1987,15-Sep,C,1,AERIAL,106,106-43,106-43-075,Duncan Ck Duncan Can,Unknown,Coho,RCL,0,Not coded yet,Tide Low,Poor,High,Not recorded,0,0,0,0
1987,24-Sep,C,1,FOOT,106,106-44,106-44-006,Falls Ck Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,21,0
1987,24-Sep,C,2,FOOT,106,106-44,106-44-006,Falls Ck Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,21,0
1987,8-Oct,C,8,HELICOPTER,106,106-43,106-43-075,Duncan Ck Duncan Can,Unknown,Coho,RCL,0,Not coded yet,Tide High,Poor,Normal,Not recorded,0,0,0,0
1987,8-Oct,C,10,FOOT,106,106-44,106-44-060,Petersburg Creek,Unknown,Coho,BGZ,0,Not coded yet,Tide High,Normal,Normal,Fish present but not counted in Tidal,0,0,21,0
1987,9-Oct,C,11,FOOT,106,106-22,106-22-006,Flat Ck Mosman Inlet,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,102,0
1987,22-Oct,C,12,FOOT,106,106-41,106-41-010,Salmon Bay Creek,Unknown,Coho,DJL,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,11,0
1987,22-Oct,C,13,FOOT,106,106-41,106-41-010,Salmon Bay Creek,Unknown,Coho,DJL,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,17,0
1987,30-Oct,C,3,FOOT,106,106-44,106-44-006,Falls Ck Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,4,1
1987,16-Sep,C,10,FOOT,107,107-10,107-10-030,Black Bear Creek,Unknown,Coho,RLT,0,Not coded yet,Tide High,Poor,Normal,Not recorded,0,0,2,0
1987,8-Oct,C,1,HELICOPTER,107,107-40,107-40-025,Oerns Creek,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,0,0
1987,8-Oct,C,2,HELICOPTER,107,107-40,107-40-038,Marten Ck Bradfield,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,0,0
1987,8-Oct,C,3,HELICOPTER,107,107-40,107-40-049,Harding River,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,0,0
1987,8-Oct,C,4,HELICOPTER,107,107-40,107-40-051,White R Bradfield,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,0,0
1987,8-Oct,C,5,HELICOPTER,107,107-40,107-40-053,Bradfield River E Fk,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,0,0
1987,8-Oct,C,6,HELICOPTER,107,107-40,107-40-025,Oerns Creek,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,80,0
1987,22-Oct,C,1,FOOT,107,107-45,107-45-078,Earl West Creek,Unknown,Coho,RLT,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,5,0
1987,18-Nov,C,1,HELICOPTER,107,107-40,107-40-025,Oerns Creek,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,15,1
1987,18-Nov,C,3,HELICOPTER,107,107-40,107-40-049,Harding River,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,70,0
1987,18-Nov,C,4,HELICOPTER,107,107-40,107-40-051,White R Bradfield,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,270,2
1987,18-Nov,C,5,HELICOPTER,107,107-40,107-40-053,Bradfield River E Fk,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,160,0
1987,18-Nov,C,7,HELICOPTER,107,107-45,107-45-009,Glacier Ck Virginia,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,0,0
1987,18-Nov,C,9,HELICOPTER,107,107-45,107-45-008,Porterfield Ck Ginia,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,0,0
1987,25-Aug,C,4,FOOT,108,108-40,108-40-020,Andrews Creek,Unknown,Coho,RLT,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,1,0
1987,25-Aug,C,14,FOOT,108,108-40,108-40-14B,Hot Springs Creek,Unknown,Coho,RLT,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,1,0
1987,22-Sep,C,1,FOOT,108,108-50,108-50-003,Bear Ck Frederick Sd,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,1,0
1987,22-Sep,C,4,FOOT,108,108-50,108-50-003,Bear Ck Frederick Sd,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,1,0
1987,23-Sep,C,1,FOOT,108,108-45,108-45-040,Blind Slough Sumner,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,48,0
1987,23-Sep,C,1,FOOT,108,108-45,108-45-050,Ohmer Creek Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,45,4,0
1987,23-Sep,C,6,FOOT,108,108-45,108-45-040,Blind Slough Sumner,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,48,0
1987,23-Sep,C,8,FOOT,108,108-45,108-45-050,Ohmer Creek Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,45,4,0
1987,7-Oct,C,5,FOOT,108,108-50,108-50-003,Bear Ck Frederick Sd,Unknown,Coho,BGZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,26,0
1987,22-Oct,C,1,HELICOPTER,108,108-40,108-40-014,Ketili Creek Barnes,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,45,0
1987,22-Oct,C,2,HELICOPTER,108,108-40,108-40-016,Kikahe River,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,142,0
1987,22-Oct,C,3,HELICOPTER,108,108-40,108-40-017,Goat Ck Stikine R,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,1,0
1987,22-Oct,C,4,HELICOPTER,108,108-40,108-40-13A,W of Hot Springs,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,83,0
1987,22-Oct,C,5,HELICOPTER,108,108-40,108-40-018,Shuktusa Branch,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,115,0
1987,22-Oct,C,6,HELICOPTER,108,108-40,108-40-013,Shakes Slough,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,7,0
1987,22-Oct,C,7,FOOT,108,108-45,108-45-040,Blind Slough Sumner,Unknown,Coho,BGZ,0,Not coded yet,Tide High,Normal,Normal,Not recorded,0,0,12,0
1987,22-Oct,C,7,HELICOPTER,108,108-40,108-40-020,Andrews Creek,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,275,0
1987,22-Oct,C,8,HELICOPTER,108,108-41,108-41-010,North Arm Creek,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,22,0
1987,22-Oct,C,9,FOOT,108,108-45,108-45-050,Ohmer Creek Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,Tide High,Normal,Normal,Not recorded,0,1,1,1
1987,23-Oct,C,1,FOOT,108,108-10,108-10-005,Pat Ck Wrangell Is,Unknown,Coho,RLT,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,7,1
1987,7-Nov,C,12,HELICOPTER,108,108-40,108-40-020,Andrews Creek,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,205,0
1987,7-Nov,C,13,HELICOPTER,108,108-40,108-40-018,Shuktusa Branch,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,4,0
1987,7-Nov,C,14,HELICOPTER,108,108-40,108-40-016,Kikahe River,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,129,0
1987,7-Nov,C,15,HELICOPTER,108,108-40,108-40-014,Ketili Creek Barnes,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,690,0
1987,7-Nov,C,16,HELICOPTER,108,108-40,108-40-13A,W of Hot Springs,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,39,0
1987,7-Nov,C,17,HELICOPTER,108,108-40,108-40-013,Shakes Slough,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,6,0
1987,7-Nov,C,18,HELICOPTER,108,108-41,108-41-010,North Arm Creek,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,23,0
1987,1-Dec,C,1,HELICOPTER,108,108-41,108-41-010,North Arm Creek,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,0,0
1987,1-Dec,C,2,HELICOPTER,108,108-40,108-40-020,Andrews Creek,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,20,0
1987,1-Dec,C,3,HELICOPTER,108,108-40,108-40-018,Shuktusa Branch,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,0,0
1987,1-Dec,C,4,HELICOPTER,108,108-40,108-40-016,Kikahe River,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,17,0
1987,1-Dec,C,5,HELICOPTER,108,108-40,108-40-014,Ketili Creek Barnes,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,85,10
1987,1-Dec,C,6,HELICOPTER,108,108-40,108-40-13A,W of Hot Springs,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,30,0
1987,1-Dec,C,7,HELICOPTER,108,108-40,108-40-013,Shakes Slough,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,0,0
1987,5-Aug,C,11,AERIAL,109,109-52,109-52-007,Rowan Creek,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Normal,Low,Fish present but not counted in Mouth,0,0,0,0
1987,28-Aug,C,10,AERIAL,109,109-42,109-42-010,Hamilton River,Unknown,Coho,RCL,0,Not coded yet,Tide Low,Excellent,Low,Fish present but not counted in Mouth,0,0,0,0
1987,1-Sep,C,4,AERIAL,109,109-52,109-52-007,Rowan Creek,Unknown,Coho,WRB,0,Not coded yet,Tide Low,Poor,High,Fish present but not counted in Mouth,0,0,0,0
1987,6-Oct,D,18,FOOT,109,109-10,109-10-023,Deep Cove NW Head,Unknown,Coho,NSR,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,10,0
1987,9-Oct,D,12,FOOT,109,109-10,109-10-023,Deep Cove NW Head,Unknown,Coho,NSR,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,10,0
1987,14-Oct,D,17,FOOT,109,109-10,109-10-023,Deep Cove NW Head,Unknown,Coho,NSR,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,10,0
1987,13-Aug,A,14,FOOT,111,111-41,111-41-005,Admiralty Creek,Unknown,Coho,KII,0,Not coded yet,Tide Low,Excellent,Low,Not recorded,0,0,60,0
1987,17-Aug,A,1,AERIAL,111,111-50,111-50-092,Barlow Cove W Shore,Unknown,Coho,DJI,0,Not coded yet,Tide High,Normal,Normal,Fish present but not counted in Mouth,0,0,0,0
1987,27-Aug,A,11,FOOT,111,111-50,111-50-092,Barlow Cove W Shore,Unknown,Coho,DJI,0,Not coded yet,Not recorded,Normal,Low,Not recorded,40,0,0,0
1987,15-Sep,A,1,HELICOPTER,111,111-32,111-32-270,Nahlin River,Unknown,Coho,LDS,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,156,9
1987,15-Sep,A,2,HELICOPTER,111,111-32,111-32-280,Dudidontu River,Unknown,Coho,LDS,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,252,24
1987,23-Sep,A,1,AERIAL,111,111-32,111-32-068,Johnson Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Excellent,Low,Fish present but not counted in Live,0,0,0,0
1987,23-Sep,A,1,FOOT,111,111-32,111-32-068,Johnson Creek-Taku R,Unknown,Coho,KJK,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,150,0
1987,23-Sep,A,2,AERIAL,111,111-32,111-32-066,Yehring Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,250,0
1987,23-Sep,A,3,AERIAL,111,111-32,111-32-056,Fish Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,100,0
1987,23-Sep,A,4,AERIAL,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,0,0
1987,23-Sep,A,5,AERIAL,111,111-32,111-32-032,Taku River,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,0,0
1987,23-Sep,A,10,AERIAL,111,111-35,111-35-010,Crescent Lake Inlet,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,10,0
1987,7-Oct,A,5,FOOT,111,111-50,111-50-010,Peterson Ck Favor C,Unknown,Coho,MRB,3,Peak survey - useful for indexing abundance,Not recorded,Excellent,Low,Not recorded,0,0,193,11
1987,7-Oct,A,10,FOOT,111,111-40,111-40-015,Salmon Creek Gast Ch,Unknown,Coho,JJM,0,Not coded yet,Tide Low,Normal,Normal,Not recorded,0,0,0,0
1987,7-Oct,A,14,FOOT,111,111-40,111-40-007,Switzer Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,48,0
1987,7-Oct,A,28,FOOT,111,111-40,111-40-028,Sheep Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,70,0
1987,8-Oct,A,12,FOOT,111,111-50,111-50-052,Montana Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,312,2
1987,9-Oct,A,1,FOOT,111,111-50,111-50-075,Peterson Ck Doug Is,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,27,0
1987,9-Oct,A,3,HELICOPTER,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,LDS,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,10,0
1987,9-Oct,A,3,HELICOPTER,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,STE,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,0,0
1987,9-Oct,A,4,HELICOPTER,111,111-32,111-32-056,Fish Creek-Taku R,Unknown,Coho,LDS,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,80,0
1987,9-Oct,A,4,HELICOPTER,111,111-32,111-32-056,Fish Creek-Taku R,Unknown,Coho,STE,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,150,0
1987,9-Oct,A,5,HELICOPTER,111,111-32,111-32-066,Yehring Creek-Taku R,Unknown,Coho,STE,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,220,0
1987,9-Oct,A,8,FOOT,111,111-50,111-50-062,Jordon Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,51,2
1987,9-Oct,A,11,AERIAL,111,111-32,111-32-032,Taku River,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,High,Not recorded,0,0,200,0
1987,9-Oct,A,13,AERIAL,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,50,0
1987,9-Oct,A,17,AERIAL,111,111-32,111-32-056,Fish Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,Not recorded,Normal,High,Not recorded,0,0,0,0
1987,9-Oct,A,17,HELICOPTER,111,111-32,111-32-066,Yehring Creek-Taku R,Unknown,Coho,LDS,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,340,0
1987,14-Oct,A,2,FOOT,111,111-40,111-40-028,Sheep Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,124,4
1987,14-Oct,A,4,FOOT,111,111-40,111-40-015,Salmon Creek Gast Ch,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,0,0
1987,14-Oct,A,6,FOOT,111,111-50,111-50-065,Johnson Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,1,1
1987,14-Oct,A,15,FOOT,111,111-40,111-40-007,Switzer Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,39,4
1987,19-Oct,A,2,HELICOPTER,111,111-32,111-32-038,Sockeye Creek-Taku,Unknown,Coho,STE,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,0,0
1987,19-Oct,A,6,AERIAL,111,111-32,111-32-038,Sockeye Creek-Taku,Unknown,Coho,STE,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,0,0
1987,19-Oct,A,7,AERIAL,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,STE,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,0,0
1987,21-Oct,A,3,FOOT,111,111-40,111-40-028,Sheep Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,104,21
1987,21-Oct,A,8,FOOT,111,111-50,111-50-057,Mendenhall Ponds,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,12,6
1987,21-Oct,A,10,FOOT,111,111-50,111-50-060,Duck Creek,Unknown,Coho,MRB,0,Not coded yet,Not recorded,Poor,Normal,Not recorded,0,0,17,0
