Year,Day (mm/dd),Area Office Code,Form No,Line No,Survey Type Name,District,Stat Area,Stream Number,Stream Name,Area Surveyed,Species Name,Observer Initials,Usage Code,Usage Description,Mouth Count,Tidal Count,Live Count,Dead Count,Tide Description,Visibility Description,Water Level Description,Fish Presence,Comments
1987,13-Aug,C,70,4,AERIAL,106,106-43,106-43-021,Castle River,Unknown,Coho,WRB,0,Not coded yet,10,0,0,0,Tide Low,Visibility Normal,Water Low,Not recorded,
1987,13-Aug,D,30,15,AERIAL,113,113-22,113-22-028,Port Banks,Unknown,Coho,RDJ,0,Not coded yet,150,0,0,0,Not recorded,Not recorded,Not recorded,Not recorded,
1987,17-Aug,A,41,1,AERIAL,111,111-50,111-50-092,Barlow Cove W Shore,Unknown,Coho,DJI,0,Not coded yet,0,0,0,0,Tide High,Visibility Normal,Water Normal,Fish present but not counted in Mouth,2 JPS MOUTH
1987,17-Aug,B,69,10,AERIAL,101,101-55,101-55-073,Bakewell Lake Creek,Unknown,Coho,EDH,0,Not coded yet,0,0,0,0,Tide High,Visibility Normal,Water Low,Fish present but not counted in Mouth,
1987,17-Aug,B,74,2,FOOT,101,101-55,101-55-073,Bakewell Lake Creek,Unknown,Coho,SHH,0,Not coded yet,0,0,24,0,Not recorded,Visibility Normal,Water Low,Fish present but not counted in Mouth,
1987,19-Aug,A,51,5,AERIAL,112,112-50,112-50-010,Pavlof River,Unknown,Coho,DJI,0,Not coded yet,0,0,0,0,Tide Low,Visibility Normal,Water Low,Fish present but not counted in Mouth,
1987,19-Aug,A,91,10,BOAT,182,182-70,182-70-010,Situk RIver,Unknown,Coho,GFW,0,Not coded yet,0,0,170,0,Not recorded,Visibility Normal,Water Low,Not recorded,
1987,20-Aug,C,92,2,AERIAL,106,106-42,106-42-010,Kah Sheets Creek,Unknown,Coho,WRB,0,Not coded yet,0,0,0,0,Tide High,Visibility Normal,Water Low,Fish present but not counted in Mouth,4 SKIFFS SPORT FISHING
1987,22-Aug,C,85,4,FOOT,106,106-41,106-41-010,Salmon Bay Creek,Unknown,Coho,DAH,0,Not coded yet,0,1,2,0,Not recorded,Visibility Normal,Water Low,Not recorded,NONE ABOVE WEIR
1987,23-Aug,A,96,2,AERIAL,192,192-42,192-42-020,Tsiu River,Unknown,Coho,GFW,0,Not coded yet,0,0,500,0,Not recorded,Visibility Excellent,Water Low,Not recorded,9000 BELOW MARKERS
1987,24-Aug,A,53,11,AERIAL,112,112-67,112-67-035,Hasselborg River,Unknown,Coho,DJI,0,Not coded yet,0,0,500,0,Tide Low,Visibility Excellent,Water Low,Not recorded,SCHS IN RIVER
1987,24-Aug,A,96,3,AERIAL,192,192-42,192-42-020,Tsiu River,Unknown,Coho,GFW,0,Not coded yet,0,0,500,0,Not recorded,Visibility Excellent,Water Low,Not recorded,10000BELOW MARKERS
1987,24-Aug,B,87,3,FOOT,101,101-45,101-45-078,Carroll Creek,Unknown,Coho,JFK,0,Not coded yet,0,0,2,0,Not recorded,Visibility Excellent,Water Low,Not recorded,
1987,25-Aug,C,121,4,FOOT,108,108-40,108-40-020,Andrews Creek,Unknown,Coho,RLT,0,Not coded yet,0,0,1,0,Not recorded,Visibility Excellent,Water Low,Not recorded,
1987,25-Aug,C,121,14,FOOT,108,108-40,108-40-14B,Hot Springs Creek,Unknown,Coho,RLT,0,Not coded yet,0,0,1,0,Not recorded,Visibility Normal,Water Low,Not recorded,
1987,26-Aug,A,56,18,FOOT,112,112-17,112-17-016,Ward Creek,Unknown,Coho,MCA,0,Not coded yet,0,0,12,0,Tide High,Visibility Normal,Water Normal,Not recorded,
1987,26-Aug,A,96,6,AERIAL,192,192-42,192-42-020,Tsiu River,Unknown,Coho,GFW,0,Not coded yet,0,0,5700,0,Not recorded,Visibility Normal,Water Low,Not recorded,GOOD BELOW MARKER
1987,27-Aug,A,52,11,FOOT,111,111-50,111-50-092,Barlow Cove W Shore,Unknown,Coho,DJI,0,Not coded yet,40,0,0,0,Not recorded,Visibility Normal,Water Low,Not recorded,SOME GETTING RED
1987,27-Aug,A,91,11,BOAT,182,182-70,182-70-010,Situk RIver,Unknown,Coho,GJT,0,Not coded yet,0,0,2000,0,Tide High,Visibility Normal,Water Low,Not recorded,1000 REDS OLD SITUK HO
1987,27-Aug,A,98,10,BOAT,182,182-70,182-70-010,Situk RIver,Unknown,Coho,GJT,0,Not coded yet,0,0,2000,0,Not recorded,Visibility Normal,Water Low,Not recorded,1000 RDS OLD SITUK HOL
1987,27-Aug,C,103,5,AERIAL,105,105-32,105-32-012,Irish Creek-Rocky P,Unknown,Coho,WRB,0,Not coded yet,0,0,0,0,Tide Low,Visibility Normal,Water Low,Fish present but not counted in Mouth,JUMPS
1987,28-Aug,C,108,4,AERIAL,105,105-32,105-32-012,Irish Creek-Rocky P,Unknown,Coho,RCL,0,Not coded yet,0,0,0,0,Not recorded,Visibility Normal,Water Low,Fish present but not counted in Mouth,
1987,28-Aug,C,109,4,AERIAL,106,106-44,106-44-031,Crystal Creek,Unknown,Coho,RCL,0,Not coded yet,0,0,0,0,Not recorded,Visibility Normal,Water Normal,Fish present but not counted in Mouth,JUMPS AT MOUTH
1987,28-Aug,C,111,10,AERIAL,109,109-42,109-42-010,Hamilton River,Unknown,Coho,RCL,0,Not coded yet,0,0,0,0,Tide Low,Visibility Excellent,Water Low,Fish present but not counted in Mouth,
1987,28-Aug,C,112,17,AERIAL,106,106-42,106-42-010,Kah Sheets Creek,Unknown,Coho,RCL,0,Not coded yet,200,0,0,0,Tide Low,Visibility Excellent,Water Low,Not recorded,
1987,29-Aug,A,96,7,AERIAL,192,192-42,192-42-020,Tsiu River,Unknown,Coho,GJT,0,Not coded yet,0,0,7500,0,Not recorded,Visibility Excellent,Water Low,Not recorded,4000 BELOW MARKER
1987,1-Sep,A,96,9,BOAT,182,182-80,182-80-030,Tawah Creek,Unknown,Coho,GJT,0,Not coded yet,0,0,236,0,Not recorded,Visibility Normal,Water Low,Not recorded,WATER VERY LOW
1987,1-Sep,A,96,14,AERIAL,192,192-42,192-42-020,Tsiu River,Unknown,Coho,GFW,0,Not coded yet,0,0,8500,0,Not recorded,Visibility Excellent,Water Low,Not recorded,
1987,1-Sep,C,105,4,AERIAL,109,109-52,109-52-007,Rowan Creek,Unknown,Coho,WRB,0,Not coded yet,0,0,0,0,Tide Low,Visibility Poor,Water High,Fish present but not counted in Mouth,3 J @ ONCE OFF OF M
1987,2-Sep,A,57,8,AERIAL,112,112-67,112-67-035,Hasselborg River,Unknown,Coho,DJI,0,Not coded yet,300,1000,0,0,Not recorded,Visibility Excellent,Water Normal,Not recorded,MANY JUMPS IN LAKE
1987,5-Sep,A,96,15,AERIAL,186,186-15,186-15-052,Jetty,Unknown,Coho,GJT,0,Not coded yet,0,0,50,0,Not recorded,Visibility Normal,Water Low,Not recorded,
1987,5-Sep,A,96,16,AERIAL,186,186-10,186-10-011,Point Riou Creek,Unknown,Coho,GJT,0,Not coded yet,0,0,50,0,Not recorded,Visibility Normal,Water Low,Not recorded,
1987,5-Sep,A,96,17,AERIAL,185,185-10,185-10-010,Yahtse River,Unknown,Coho,GJT,0,Not coded yet,0,0,150,0,Not recorded,Visibility Normal,Water Low,Not recorded,
1987,5-Sep,A,96,18,AERIAL,182,182-55,182-55-015,Old Italio River,Unknown,Coho,GJT,0,Not coded yet,0,0,50,0,Tide High,Visibility Poor,Water Low,Not recorded,LOWER R. DARK AND DIRT
1987,5-Sep,A,97,1,AERIAL,182,182-50,182-50-010,Italio River,Unknown,Coho,GJT,0,Not coded yet,0,0,100,0,Tide High,Visibility Normal,Water Low,Not recorded,
1987,5-Sep,A,97,2,AERIAL,182,182-50,182-50-010,Italio River,Unknown,Coho,GJT,0,Not coded yet,0,0,0,0,Tide High,Visibility Poor,Water Normal,Not recorded,WATER DARK AND DIRTY
1987,8-Sep,A,60,3,AERIAL,112,112-67,112-67-035,Hasselborg River,Unknown,Coho,DJI,0,Not coded yet,0,0,500,0,Tide Low,Visibility Normal,Water Normal,Not recorded,
1987,8-Sep,A,60,15,AERIAL,115,115-20,115-20-010,Berners River,Unknown,Coho,DJI,0,Not coded yet,0,0,0,0,Tide High,Visibility Poor,Water High,Not recorded,"NONE SEEN, GLACIAL"
1987,11-Sep,A,97,3,AERIAL,185,185-10,185-10-010,Yahtse River,Unknown,Coho,GJT,0,Not coded yet,0,0,300,0,Tide Low,Visibility Normal,Water Normal,Not recorded,
1987,11-Sep,A,97,4,AERIAL,186,186-15,186-15-052,Jetty,Unknown,Coho,GJT,0,Not coded yet,0,0,200,0,Tide Low,Visibility Excellent,Water Low,Not recorded,
1987,11-Sep,A,97,5,AERIAL,186,186-10,186-10-011,Point Riou Creek,Unknown,Coho,GJT,0,Not coded yet,0,0,0,0,Tide Low,Visibility Normal,Water Low,Not recorded,
1987,11-Sep,A,97,6,AERIAL,182,182-50,182-50-010,Italio River,Unknown,Coho,GJT,0,Not coded yet,0,0,0,0,Tide Low,Visibility Poor,Water High,Not recorded,DARK HIGH WATER
1987,11-Sep,A,97,7,AERIAL,182,182-50,182-50-010,Italio River,Unknown,Coho,GJT,0,Not coded yet,0,0,2500,0,Tide Low,Visibility Normal,Water Normal,Not recorded,MIDDLE ITALIO CLEAR
1987,11-Sep,A,97,8,AERIAL,182,182-55,182-55-015,Old Italio River,Unknown,Coho,GJT,0,Not coded yet,0,0,1000,0,Tide Low,Visibility Excellent,Water Normal,Not recorded,CLEAR WATER
1987,12-Sep,B,108,3,FOOT,102,102-40,102-40-060,Lagoon Creek,Unknown,Coho,PSD,0,Not coded yet,0,5,70,0,Not recorded,Visibility Normal,Water Normal,Not recorded,
1987,15-Sep,A,68,1,AERIAL,112,112-67,112-67-035,Hasselborg River,Unknown,Coho,DJI,0,Not coded yet,0,0,400,0,Tide Low,Visibility Excellent,Water Normal,Not recorded,LOWER RIVER
1987,15-Sep,A,68,11,AERIAL,115,115-20,115-20-010,Berners River,Unknown,Coho,DJI,0,Not coded yet,0,0,170,0,Tide Low,Visibility Normal,Water Normal,Not recorded,150 LOWER RIVER
1987,15-Sep,A,86,1,HELICOPTER,111,111-32,111-32-270,Nahlin River,Unknown,Coho,LDS,0,Not coded yet,0,0,156,9,Not recorded,Visibility Excellent,Water Normal,Not recorded,
1987,15-Sep,A,86,2,HELICOPTER,111,111-32,111-32-280,Dudidontu River,Unknown,Coho,LDS,0,Not coded yet,0,0,252,24,Not recorded,Visibility Excellent,Water Normal,Not recorded,INC KAKUCHUYA CR.
1987,15-Sep,C,133,1,AERIAL,106,106-43,106-43-075,Duncan Ck Duncan Can,Unknown,Coho,RCL,0,Not coded yet,0,0,0,0,Tide Low,Visibility Poor,Water High,Not recorded,H20 TO0 HIGH AND DARK
1987,16-Sep,C,135,10,FOOT,107,107-10,107-10-030,Black Bear Creek,Unknown,Coho,RLT,0,Not coded yet,0,0,2,0,Tide High,Visibility Poor,Water Normal,Not recorded,
1987,22-Sep,A,81,1,AERIAL,115,115-20,115-20-010,Berners River,Unknown,Coho,RFS,0,Not coded yet,0,0,235,0,Not recorded,Visibility Excellent,Water Low,Not recorded,NONE IN LOWER PART
1987,22-Sep,A,97,9,AERIAL,182,182-80,182-80-030,Tawah Creek,Unknown,Coho,REJ,0,Not coded yet,0,0,1500,0,Not recorded,Visibility Poor,Water High,Not recorded,H2O VERY VERY HIGH
1987,22-Sep,A,97,10,AERIAL,182,182-80,182-80-070,Summit Lake,Unknown,Coho,REJ,0,Not coded yet,0,0,400,0,Not recorded,Visibility Poor,Water High,Not recorded,H2O VERY VERY HIGH
1987,22-Sep,C,146,1,FOOT,108,108-50,108-50-003,Bear Ck Frederick Sd,Unknown,Coho,BGZ,0,Not coded yet,0,0,1,0,Not recorded,Visibility Normal,Water Normal,Not recorded,STRM LRG FOR GOOD SURV
1987,22-Sep,C,147,4,FOOT,108,108-50,108-50-003,Bear Ck Frederick Sd,Unknown,Coho,BGZ,0,Not coded yet,0,0,1,0,Not recorded,Visibility Normal,Water Normal,Not recorded,LOWER INDEX AREA
1987,23-Sep,A,75,1,AERIAL,111,111-32,111-32-068,Johnson Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,0,0,0,0,Not recorded,Visibility Excellent,Water Low,Fish present but not counted in Live,
1987,23-Sep,A,75,2,AERIAL,111,111-32,111-32-066,Yehring Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,0,0,250,0,Not recorded,Visibility Normal,Water Low,Not recorded,GLACIAL
1987,23-Sep,A,75,3,AERIAL,111,111-32,111-32-056,Fish Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,0,0,100,0,Not recorded,Visibility Normal,Water Low,Not recorded,REDS IN FRONT POOL
1987,23-Sep,A,75,4,AERIAL,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,0,0,0,0,Not recorded,Visibility Normal,Water Low,Not recorded,TOO GLACIAL
1987,23-Sep,A,75,5,AERIAL,111,111-32,111-32-032,Taku River,Unknown,Coho,JJM,0,Not coded yet,0,0,0,0,Not recorded,Visibility Normal,Water Low,Not recorded,RT-MTN
1987,23-Sep,A,75,10,AERIAL,111,111-35,111-35-010,Crescent Lake Inlet,Unknown,Coho,JJM,0,Not coded yet,0,0,10,0,Not recorded,Visibility Normal,Water Low,Not recorded,
1987,23-Sep,A,88,1,FOOT,111,111-32,111-32-068,Johnson Creek-Taku R,Unknown,Coho,KJK,0,Not coded yet,0,0,150,0,Not recorded,Visibility Excellent,Water Low,Not recorded,
1987,23-Sep,C,143,1,FOOT,108,108-45,108-45-040,Blind Slough Sumner,Unknown,Coho,BGZ,0,Not coded yet,0,0,48,0,Not recorded,Visibility Normal,Water Normal,Not recorded,
1987,23-Sep,C,144,1,FOOT,108,108-45,108-45-050,Ohmer Creek Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,0,45,4,0,Not recorded,Visibility Normal,Water Normal,Not recorded,
1987,23-Sep,C,147,6,FOOT,108,108-45,108-45-040,Blind Slough Sumner,Unknown,Coho,BGZ,0,Not coded yet,0,0,48,0,Not recorded,Visibility Normal,Water Normal,Not recorded,
1987,23-Sep,C,147,8,FOOT,108,108-45,108-45-050,Ohmer Creek Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,0,45,4,0,Not recorded,Visibility Normal,Water Normal,Not recorded,
1987,23-Sep,D,22,2,FOOT,113,113-62,113-62-008,Sinitsin Cove Head,Unknown,Coho,RAD,0,Not coded yet,0,0,21,0,Not recorded,Visibility Normal,Water Normal,Not recorded,MOSTLY DARK FISH
1987,23-Sep,D,47,1,FOOT,113,113-41,113-41-042,Kizhuchia Ck Red Bay,Unknown,Coho,AES,0,Not coded yet,0,0,40,0,Not recorded,Visibility Normal,Water Normal,Not recorded,DARK FISH
1987,23-Sep,D,47,2,FOOT,113,113-62,113-62-008,Sinitsin Cove Head,Unknown,Coho,RAD,0,Not coded yet,0,0,21,0,Not recorded,Visibility Normal,Water Normal,Not recorded,MOSTLY DARK FISH
1987,23-Sep,D,47,3,FOOT,113,113-66,113-66-006,St. John Baptist Hd,Unknown,Coho,RAD,0,Not coded yet,0,0,4,0,Not recorded,Visibility Normal,Water Normal,Not recorded,DARK FISH
1987,24-Sep,C,145,1,FOOT,106,106-44,106-44-006,Falls Ck Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,0,0,21,0,Not recorded,Visibility Normal,Water Normal,Not recorded,LOTS OF DEEP DARK POOL
1987,24-Sep,C,147,2,FOOT,106,106-44,106-44-006,Falls Ck Mitkof Is,Unknown,Coho,BGZ,0,Not coded yet,0,0,21,0,Not recorded,Visibility Normal,Water Normal,Not recorded,BELOW BRIDGE
1987,24-Sep,D,47,4,FOOT,113,113-40,113-40-015,Starrigavin Creek,Unknown,Coho,RDJ,0,Not coded yet,0,0,16,0,Not recorded,Visibility Normal,Water Normal,Not recorded,MIXED DARK & BRITE
1987,24-Sep,D,47,5,FOOT,113,113-41,113-41-13B,Eagle River,Unknown,Coho,RAD,0,Not coded yet,0,0,167,0,Not recorded,Visibility Normal,Water Normal,Not recorded,MIXED DARK & BRITE
1987,26-Sep,B,116,3,FOOT,101,101-15,101-15-085,Fish Creek-Hyder,Unknown,Coho,JFK,0,Not coded yet,0,0,94,0,Not recorded,Visibility Excellent,Water Normal,Not recorded,
1987,28-Sep,D,47,6,FOOT,113,113-62,113-62-008,Sinitsin Cove Head,Unknown,Coho,NSR,0,Not coded yet,0,0,20,0,Not recorded,Visibility Normal,Water Normal,Not recorded,"DIVE,+12STRAY,1AD CLIP"
1987,30-Sep,A,82,4,AERIAL,115,115-20,115-20-010,Berners River,Unknown,Coho,DJI,0,Not coded yet,0,0,150,0,Tide Low,Visibility Poor,Water High,Not recorded,NONE LOWER RIVER
1987,6-Oct,D,47,18,FOOT,109,109-10,109-10-023,Deep Cove NW Head,Unknown,Coho,NSR,0,Not coded yet,0,0,10,0,Not recorded,Visibility Normal,Water Normal,Not recorded,NSRAA DIVE SURVEY
1987,7-Oct,A,82,10,FOOT,111,111-40,111-40-015,Salmon Creek Gast Ch,Unknown,Coho,JJM,0,Not coded yet,0,0,0,0,Tide Low,Visibility Normal,Water Normal,Not recorded,NONE SEEN
1987,7-Oct,A,84,5,FOOT,111,111-50,111-50-010,Peterson Ck Favor C,Unknown,Coho,MRB,0,Not coded yet,0,0,193,11,Not recorded,Visibility Excellent,Water Low,Not recorded,
1987,7-Oct,A,84,14,FOOT,111,111-40,111-40-007,Switzer Creek,Unknown,Coho,MRB,0,Not coded yet,0,0,48,0,Not recorded,Visibility Excellent,Water Low,Not recorded,
1987,7-Oct,A,84,28,FOOT,111,111-40,111-40-028,Sheep Creek,Unknown,Coho,MRB,0,Not coded yet,0,0,70,0,Not recorded,Visibility Poor,Water Normal,Not recorded,
1987,7-Oct,A,97,12,BOAT,182,182-70,182-70-010,Situk RIver,Unknown,Coho,B-K,0,Not coded yet,0,0,1010,0,Not recorded,Visibility Excellent,Water Normal,Not recorded,OLD SITUK 12 CHUM 12 R
1987,7-Oct,A,99,5,FOOT,115,115-32,115-32-040,Spring Ck L Salmon R,Unknown,Coho,RPE,0,Not coded yet,0,0,26,0,Not recorded,Visibility Excellent,Water High,Not recorded,
1987,7-Oct,A,99,35,FOOT,115,115-32,115-32-040,Spring Ck L Salmon R,Unknown,Coho,RPE,0,Not coded yet,0,0,7,0,Not recorded,Visibility Excellent,Water High,Not recorded,jacks -
1987,7-Oct,B,126,5,FOOT,101,101-90,101-90-029,Traitors Cove Creek,Unknown,Coho,SHH,0,Not coded yet,0,0,65,0,Not recorded,Visibility Normal,Water Normal,Not recorded,
1987,7-Oct,C,147,5,FOOT,108,108-50,108-50-003,Bear Ck Frederick Sd,Unknown,Coho,BGZ,0,Not coded yet,0,0,26,0,Not recorded,Visibility Normal,Water Normal,Not recorded,5 INDEX 21 ABV.
1987,8-Oct,A,82,6,AERIAL,112,112-80,112-80-028,Chaik Bay Creek,Unknown,Coho,DJI,0,Not coded yet,0,0,200,0,Tide Low,Visibility Excellent,Water Normal,Not recorded,
1987,8-Oct,A,82,8,FOOT,112,112-80,112-80-028,Chaik Bay Creek,Unknown,Coho,DJI,0,Not coded yet,0,400,86,0,Tide Low,Visibility Excellent,Water Normal,Not recorded,50 % BIGHT
1987,8-Oct,A,84,12,FOOT,111,111-50,111-50-052,Montana Creek,Unknown,Coho,MRB,0,Not coded yet,0,0,312,2,Not recorded,Visibility Excellent,Water Low,Not recorded,
1987,8-Oct,A,97,13,BOAT,182,182-80,182-80-030,Tawah Creek,Unknown,Coho,B-K,3,Peak survey - useful for indexing abundance,0,0,5000,0,Not recorded,Visibility Excellent,Water High,Not recorded,
1987,8-Oct,A,99,6,FOOT,115,115-32,115-32-027,Clear Ck Murphy Flat,Unknown,Coho,RPE,0,Not coded yet,0,0,12,0,Tide High,Visibility Normal,Water Normal,Not recorded,
1987,8-Oct,B,119,2,FOOT,102,102-40,102-40-060,Lagoon Creek,Unknown,Coho,PSD,0,Not coded yet,0,30,185,0,Not recorded,Visibility Normal,Water Normal,Fish present but not counted in Mouth,
1987,8-Oct,B,126,1,FOOT,101,101-29,101-29-006,Vallenar Creek,Unknown,Coho,SHH,0,Not coded yet,0,0,108,0,Not recorded,Visibility Normal,Water Normal,Not recorded,200+ DOLLY VARDEN
1987,8-Oct,B,126,16,FOOT,101,101-30,101-30-083,Humpback Creek,Unknown,Coho,LED,0,Not coded yet,0,0,337,0,Not recorded,Visibility Normal,Water Normal,Not recorded,
1987,8-Oct,C,147,10,FOOT,106,106-44,106-44-060,Petersburg Creek,Unknown,Coho,BGZ,0,Not coded yet,0,0,21,0,Tide High,Visibility Normal,Water Normal,Fish present but not counted in Tidal,
1987,8-Oct,C,151,1,HELICOPTER,107,107-40,107-40-025,Oerns Creek,Unknown,Coho,WRB,0,Not coded yet,0,0,0,0,Not recorded,Visibility Poor,Water Normal,Not recorded,10:30 AM SHAD & GLARE
1987,8-Oct,C,151,2,HELICOPTER,107,107-40,107-40-038,Marten Ck Bradfield,Unknown,Coho,WRB,0,Not coded yet,0,0,0,0,Not recorded,Visibility Poor,Water Normal,Not recorded,ALL SHADOWS
1987,8-Oct,C,151,3,HELICOPTER,107,107-40,107-40-049,Harding River,Unknown,Coho,WRB,0,Not coded yet,0,0,0,0,Not recorded,Visibility Normal,Water Normal,Not recorded,COULDN'T SEE IN POOLS
1987,8-Oct,C,151,4,HELICOPTER,107,107-40,107-40-051,White R Bradfield,Unknown,Coho,WRB,0,Not coded yet,0,0,0,0,Not recorded,Visibility Normal,Water Normal,Not recorded,COULDN'T SEE IN POOLS
1987,8-Oct,C,151,5,HELICOPTER,107,107-40,107-40-053,Bradfield River E Fk,Unknown,Coho,WRB,0,Not coded yet,0,0,0,0,Not recorded,Visibility Normal,Water Normal,Not recorded,COULD'T SEE IN POOLS
1987,8-Oct,C,151,6,HELICOPTER,107,107-40,107-40-025,Oerns Creek,Unknown,Coho,WRB,0,Not coded yet,0,0,80,0,Not recorded,Visibility Normal,Water Normal,Not recorded,"NOON, ALL IN ONE SCHL"
1987,8-Oct,C,151,8,HELICOPTER,106,106-43,106-43-075,Duncan Ck Duncan Can,Unknown,Coho,RCL,0,Not coded yet,0,0,0,0,Tide High,Visibility Poor,Water Normal,Not recorded,SHADOWS & DK POOLS
1987,8-Oct,D,47,7,FOOT,113,113-62,113-62-008,Sinitsin Cove Head,Unknown,Coho,RAD,0,Not coded yet,0,0,18,0,Not recorded,Visibility Normal,Water Normal,Not recorded,ALL DARK
1987,8-Oct,D,47,8,FOOT,113,113-41,113-41-13B,Eagle River,Unknown,Coho,RAD,0,Not coded yet,0,0,9,0,Not recorded,Visibility Normal,Water Normal,Not recorded,ALL DARK
1987,9-Oct,A,60,16,AERIAL,115,115-20,115-20-010,Berners River,Unknown,Coho,WEP,0,Not coded yet,0,0,1450,0,Not recorded,Visibility Normal,Water Normal,Not recorded,100 LOWER RIVER
1987,9-Oct,A,82,11,AERIAL,111,111-32,111-32-032,Taku River,Unknown,Coho,JJM,0,Not coded yet,0,0,200,0,Not recorded,Visibility Normal,Water High,Not recorded,SIDE SLU OFF MAIN R.
1987,9-Oct,A,82,13,AERIAL,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,0,0,50,0,Not recorded,Visibility Poor,Water High,Not recorded,WATER CLDY AND HIGH
1987,9-Oct,A,82,17,AERIAL,111,111-32,111-32-056,Fish Creek-Taku R,Unknown,Coho,JJM,0,Not coded yet,0,0,0,0,Not recorded,Visibility Normal,Water High,Not recorded,0 SEEN BEHIND IS.
1987,9-Oct,A,83,1,FOOT,111,111-50,111-50-075,Peterson Ck Doug Is,Unknown,Coho,MRB,0,Not coded yet,0,0,27,0,Not recorded,Visibility Excellent,Water Low,Not recorded,FROM TRAIL UPSTREAM
1987,9-Oct,A,84,8,FOOT,111,111-50,111-50-062,Jordon Creek,Unknown,Coho,MRB,0,Not coded yet,0,0,51,2,Not recorded,Visibility Excellent,Water Low,Not recorded,
1987,9-Oct,A,86,3,HELICOPTER,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,LDS,0,Not coded yet,0,0,10,0,Not recorded,Visibility Poor,Water High,Not recorded,GLACIAL
1987,9-Oct,A,86,4,HELICOPTER,111,111-32,111-32-056,Fish Creek-Taku R,Unknown,Coho,LDS,0,Not coded yet,0,0,80,0,Not recorded,Visibility Normal,Water Normal,Not recorded,
1987,9-Oct,A,86,17,HELICOPTER,111,111-32,111-32-066,Yehring Creek-Taku R,Unknown,Coho,LDS,0,Not coded yet,0,0,340,0,Not recorded,Visibility Poor,Water High,Not recorded,
1987,9-Oct,A,88,3,HELICOPTER,111,111-32,111-32-203,Wilms Creek-Taku R,Unknown,Coho,STE,0,Not coded yet,0,0,0,0,Not recorded,Visibility Poor,Water High,Not recorded,TURBID-NO COUNT
1987,9-Oct,A,88,4,HELICOPTER,111,111-32,111-32-056,Fish Creek-Taku R,Unknown,Coho,STE,0,Not coded yet,0,0,150,0,Not recorded,Visibility Normal,Water Normal,Not recorded,TURBID-NO COUNT
1987,9-Oct,A,88,5,HELICOPTER,111,111-32,111-32-066,Yehring Creek-Taku R,Unknown,Coho,STE,0,Not coded yet,0,0,220,0,Not recorded,Visibility Normal,Water Normal,Not recorded,
